"name","SemanticID","url","category"
"Šaban Žuna","2197375952","https://www.semanticscholar.org/author/2197375952","Engineering"
"A. Žilić","81202353","https://www.semanticscholar.org/author/81202353","Medicine"
"G. Žarković","8589614","https://www.semanticscholar.org/author/8589614","Medicine"
"Seid Žapčević","98387286","https://www.semanticscholar.org/author/98387286","Engineering"
"Z. Zvizdic","6221386","https://www.semanticscholar.org/author/6221386","Medicine"
"I. Zulić","12632495","https://www.semanticscholar.org/author/12632495","Medicine"
"S. Zubčević","4021996","https://www.semanticscholar.org/author/4021996","Medicine"
"M. Zlatar","96443346","https://www.semanticscholar.org/author/96443346","Engineering"
"Damir Zenunović","95789045","https://www.semanticscholar.org/author/95789045","Engineering"
"M. Zecevic","153195723","https://www.semanticscholar.org/author/153195723","Engineering"
"Đemil Omerović","13907139","https://www.semanticscholar.org/author/13907139","Medicine"
"Adna Bešić","90937662","https://www.semanticscholar.org/author/90937662","Environmental Science"
"A. Smajkić","32613483","https://www.semanticscholar.org/author/32613483","Medicine"
"Z. Godinjak","5858221","https://www.semanticscholar.org/author/5858221","Medicine"
"A. Jonuzi","6723553","https://www.semanticscholar.org/author/6723553","Medicine"
"S. Vranić","3573714","https://www.semanticscholar.org/author/3573714","Medicine"
"U. Glamočlija","7436493","https://www.semanticscholar.org/author/7436493","Medicine"
"Amel Hadzimehmedagic","4647805","https://www.semanticscholar.org/author/4647805","Medicine"
"Almir Fajkić","6383676","https://www.semanticscholar.org/author/6383676","Medicine"
"Edin Kabil","12728465","https://www.semanticscholar.org/author/12728465","Medicine"
"K. Karavdić","10202622","https://www.semanticscholar.org/author/10202622","Medicine"
"F. Skenderi","4762925","https://www.semanticscholar.org/author/4762925","Medicine"
"S. Salihagić","13506249","https://www.semanticscholar.org/author/13506249","Medicine"
"V. Mišanović","4705446","https://www.semanticscholar.org/author/4705446","Medicine"
"M. Hiroš","6450930","https://www.semanticscholar.org/author/6450930","Medicine"
"S. Heljić","6464943","https://www.semanticscholar.org/author/6464943","Medicine"
"I. Susko","6574471","https://www.semanticscholar.org/author/6574471","Medicine"
"A. Hadžimuratović","15698182","https://www.semanticscholar.org/author/15698182","Medicine"
"Z. Mornjaković","5555643","https://www.semanticscholar.org/author/5555643","Medicine"
"A. Arslanagić","10403545","https://www.semanticscholar.org/author/10403545","Medicine"
"N. Mulabegović","5274894","https://www.semanticscholar.org/author/5274894","Medicine"
"A. Lačević","13392359","https://www.semanticscholar.org/author/13392359","Medicine"
"S. Rašić","5334101","https://www.semanticscholar.org/author/5334101","Medicine"
"I. Kulenović","6507573","https://www.semanticscholar.org/author/6507573","Medicine"
"J. Huskic","6384478","https://www.semanticscholar.org/author/6384478","Medicine"
"N. Babic","4369919","https://www.semanticscholar.org/author/4369919","Medicine"
"J. Radovanović","48282373","https://www.semanticscholar.org/author/48282373","Medicine"
"M. Mijanović","6476908","https://www.semanticscholar.org/author/6476908","Medicine"
"S. Prašović","3613867","https://www.semanticscholar.org/author/3613867","Medicine"
"E. Kapić","14870828","https://www.semanticscholar.org/author/14870828","Medicine"
"E. Becic","40517678","https://www.semanticscholar.org/author/40517678","Medicine"
"M. Kadić","47322627","https://www.semanticscholar.org/author/47322627","Medicine"
"B. Nikolin","4936119","https://www.semanticscholar.org/author/4936119","Medicine"
"K. Miladinović","3503766","https://www.semanticscholar.org/author/3503766","Medicine"
"H. Maksić","5430472","https://www.semanticscholar.org/author/5430472","Medicine"
"F. Konjhodžić","4791174","https://www.semanticscholar.org/author/4791174","Medicine"
"I. Gavrankapetanović","7918933","https://www.semanticscholar.org/author/7918933","Medicine"
"S. Miljanovic","103063471","https://www.semanticscholar.org/author/103063471","Engineering"
"N. Rustempašić","98094443","https://www.semanticscholar.org/author/98094443","Engineering"
"Damir Zaklan","123662827","https://www.semanticscholar.org/author/123662827","Economics"
"S. Vukašinović","98553940","https://www.semanticscholar.org/author/98553940","Agricultural and Food Sciences"
"Ramiz Vugdalić","102173233","https://www.semanticscholar.org/author/102173233","Mathematics"
"Esad Vrce","97882456","https://www.semanticscholar.org/author/97882456","Engineering"
"Samir Vojić","30846330","https://www.semanticscholar.org/author/30846330","Engineering"
"H. Vilić","87417481","https://www.semanticscholar.org/author/87417481","Agricultural and Food Sciences"
"H. Vila","11968853","https://www.semanticscholar.org/author/11968853","Medicine"
"Nedeljko Vidović","107789725","https://www.semanticscholar.org/author/107789725","Geography"
"Fikret Veljović","6651852","https://www.semanticscholar.org/author/6651852","Medicine"
"Safet Velić","119309665","https://www.semanticscholar.org/author/119309665","Education"
"L. Karić","88017688","https://www.semanticscholar.org/author/88017688","Agricultural and Food Sciences"
"Sanela Halilović","4823002","https://www.semanticscholar.org/author/4823002","Mathematics"
"F. Vajzović","101645156","https://www.semanticscholar.org/author/101645156","Mathematics"
"Dževad Krdžalić","98172254","https://www.semanticscholar.org/author/98172254","Engineering"
"Džanina Omićević","98290751","https://www.semanticscholar.org/author/98290751","Engineering"
